date,time,hour,aqi,pm25,pm10,co,no2,o3,so2,temp,humidity,pressure,wind_speed
2025-06-23,06:34:03,7,161,161,,,,,,32.9,58,998,6.17
2025-06-23,07:22:50,8,161,161,,,,,,32.9,62,997,5.14
2025-06-23,08:30:56,9,161,161,,,,,,33.9,59,996,5.66
2025-06-23,09:26:04,10,161,161,,,,,,34.9,52,996,5.14
2025-06-23,10:24:47,11,161,161,,,,,,34.9,52,996,6.17
2025-06-23,11:19:25,12,161,161,,,,,,33.9,55,996,6.17
2025-06-23,12:47:06,13,161,161,,,,,,32.9,58,995,6.17
2025-06-23,13:35:59,14,161,161,,,,,,31.9,62,996,7.2
2025-06-23,14:22:46,15,161,161,,,,,,31.9,66,996,5.14
2025-06-23,15:24:30,16,161,161,,,,,,30.9,70,997,5.66
2025-06-23,16:28:44,17,161,161,,,,,,30.9,70,997,5.14
2025-06-23,17:19:39,18,161,161,,,,,,30.9,70,997,5.14
2025-06-23,18:31:20,19,161,161,,,,,,30.9,70,997,4.63
2025-06-23,19:17:23,20,161,161,,,,,,30.9,74,996,5.14
2025-06-23,20:24:49,21,161,161,,,,,,29.9,74,996,5.14
2025-06-23,21:20:23,22,161,161,,,,,,29.9,74,995,4.63
2025-06-23,22:21:22,23,161,161,,,,,,29.9,74,995,5.14
2025-06-23,23:18:02,24,161,161,,,,,,28.9,79,995,5.66
