date,time,hour_of_day,day_of_week,is_weekend,aqi_index,pm2_5,pm10,co,no2,o3,so2,nh3,temp,humidity,pressure,wind_speed,forecast_1_temp,forecast_1_humidity,forecast_1_pressure,forecast_1_wind_speed,forecast_2_temp,forecast_2_humidity,forecast_2_pressure,forecast_2_wind_speed,forecast_3_temp,forecast_3_humidity,forecast_3_pressure,forecast_3_wind_speed,forecast_4_temp,forecast_4_humidity,forecast_4_pressure,forecast_4_wind_speed,forecast_5_temp,forecast_5_humidity,forecast_5_pressure,forecast_5_wind_speed,forecast_6_temp,forecast_6_humidity,forecast_6_pressure,forecast_6_wind_speed,forecast_7_temp,forecast_7_humidity,forecast_7_pressure,forecast_7_wind_speed,forecast_8_temp,forecast_8_humidity,forecast_8_pressure,forecast_8_wind_speed,forecast_9_temp,forecast_9_humidity,forecast_9_pressure,forecast_9_wind_speed,forecast_10_temp,forecast_10_humidity,forecast_10_pressure,forecast_10_wind_speed,forecast_11_temp,forecast_11_humidity,forecast_11_pressure,forecast_11_wind_speed,forecast_12_temp,forecast_12_humidity,forecast_12_pressure,forecast_12_wind_speed,forecast_13_temp,forecast_13_humidity,forecast_13_pressure,forecast_13_wind_speed,forecast_14_temp,forecast_14_humidity,forecast_14_pressure,forecast_14_wind_speed,forecast_15_temp,forecast_15_humidity,forecast_15_pressure,forecast_15_wind_speed,forecast_16_temp,forecast_16_humidity,forecast_16_pressure,forecast_16_wind_speed,forecast_17_temp,forecast_17_humidity,forecast_17_pressure,forecast_17_wind_speed,forecast_18_temp,forecast_18_humidity,forecast_18_pressure,forecast_18_wind_speed,forecast_19_temp,forecast_19_humidity,forecast_19_pressure,forecast_19_wind_speed,forecast_20_temp,forecast_20_humidity,forecast_20_pressure,forecast_20_wind_speed,forecast_21_temp,forecast_21_humidity,forecast_21_pressure,forecast_21_wind_speed,forecast_22_temp,forecast_22_humidity,forecast_22_pressure,forecast_22_wind_speed,forecast_23_temp,forecast_23_humidity,forecast_23_pressure,forecast_23_wind_speed,forecast_24_temp,forecast_24_humidity,forecast_24_pressure,forecast_24_wind_speed
2025-06-26,02:05:17,2,3,0,5,43.5,213.22,93.26,0.07,66.54,0.37,0,29.9,84,999,2.57,30.07,84,1000,2.41,30.31,78,1000,2.99,31.4,70,999,4.47,31.18,71,997,6.92,29.97,78,998,5.92,29.62,80,1000,3.43,29.13,82,998,3.24,28.98,82,998,3.93,29.73,77,999,3.16,30.64,71,999,3.25,30,76,997,3.94,31.15,71,996,5.59,29.6,80,998,5.03,29.2,83,1000,4.01,28.75,85,998,5.57,28.52,85,998,4.79,28.93,83,998,4.06,30.03,79,999,5.07,31.37,73,997,7.1,30.43,77,997,8.43,28.98,83,998,9.65,28.71,83,999,8.6,28.46,84,998,8.8,28.41,84,997,8.76
2025-06-26,03:51:31,3,3,0,5,47.02,229.15,93.23,0.06,67.61,0.36,0,31.9,74,1000,2.06,31.64,72,1000,2.99,32.06,67,999,4.47,31.18,71,997,6.92,29.97,78,998,5.92,29.62,80,1000,3.43,29.13,82,998,3.24,28.98,82,998,3.93,29.73,77,999,3.16,30.64,71,999,3.25,30,76,997,3.94,31.15,71,996,5.59,29.6,80,998,5.03,29.2,83,1000,4.01,28.75,85,998,5.57,28.52,85,998,4.79,28.93,83,998,4.06,30.03,79,999,5.07,31.37,73,997,7.1,30.43,77,997,8.43,28.98,83,998,9.65,28.71,83,999,8.6,28.46,84,998,8.8,28.41,84,997,8.76,29.11,81,998,9.41
2025-06-26,04:35:21,4,3,0,5,48.41,233.71,92.88,0.06,67.36,0.35,0,32.9,75,1000,2.57,33.07,75,999,2.99,32.73,71,999,4.47,31.81,72,998,6.92,29.97,78,998,5.92,29.62,80,1000,3.43,29.13,82,998,3.24,28.98,82,998,3.93,29.73,77,999,3.16,30.64,71,999,3.25,30,76,997,3.94,31.15,71,996,5.59,29.6,80,998,5.03,29.2,83,1000,4.01,28.75,85,998,5.57,28.52,85,998,4.79,28.93,83,998,4.06,30.03,79,999,5.07,31.37,73,997,7.1,30.43,77,997,8.43,28.98,83,998,9.65,28.71,83,999,8.6,28.46,84,998,8.8,28.41,84,997,8.76,29.11,81,998,9.41
2025-06-26,05:26:38,5,3,0,5,48.41,233.71,92.88,0.06,67.36,0.35,0,32.9,62,1000,0,33.07,62,999,2.99,32.73,63,999,4.47,31.81,68,998,6.92,29.97,78,998,5.92,29.62,80,1000,3.43,29.13,82,998,3.24,28.98,82,998,3.93,29.73,77,999,3.16,30.64,71,999,3.25,30,76,997,3.94,31.15,71,996,5.59,29.6,80,998,5.03,29.2,83,1000,4.01,28.75,85,998,5.57,28.52,85,998,4.79,28.93,83,998,4.06,30.03,79,999,5.07,31.37,73,997,7.1,30.43,77,997,8.43,28.98,83,998,9.65,28.71,83,999,8.6,28.46,84,998,8.8,28.41,84,997,8.76,29.11,81,998,9.41
2025-06-26,06:38:01,6,3,0,5,49.51,236.33,92.58,0.05,66.55,0.35,0,33.9,55,999,2.57,33.4,61,999,4.3,32.15,67,998,6.11,30.01,77,998,5.45,29.84,79,1000,4.85,29.21,83,998,2.19,29.29,81,998,2.83,29.73,77,999,3.16,30.64,71,999,3.25,30,76,997,3.94,31.15,71,996,5.59,29.6,80,998,5.03,29.2,83,1000,4.01,28.75,85,998,5.57,28.52,85,998,4.79,28.93,83,998,4.06,30.03,79,999,5.07,31.37,73,997,7.1,30.43,77,997,8.43,28.98,83,998,9.65,28.71,83,999,8.6,28.46,84,998,8.8,28.41,84,997,8.76,29.11,81,998,9.41,30.14,75,998,10.94
2025-06-26,07:25:26,7,3,0,5,50.43,237.43,92.12,0.05,65.71,0.34,0,34.9,55,999,3.6,33.94,59,999,4.3,32.48,66,998,6.11,30.01,77,998,5.45,29.84,79,1000,4.85,29.21,83,998,2.19,29.29,81,998,2.83,29.5,79,999,4.1,31.64,69,999,4.01,32.21,68,997,6.22,31,73,996,6.09,29.87,80,998,5.72,29.22,84,999,5.64,28.74,84,998,5.14,28.74,84,997,4.86,28.84,84,998,6.28,29.73,80,998,6.45,29.56,81,997,7.4,29.7,79,996,8.84,28.96,83,998,8.92,28.45,88,998,9.99,28.1,85,997,9.64,28.16,85,996,9.12,29.05,80,998,8.84,30.44,74,998,10.59
2025-06-26,08:34:24,8,3,0,5,50.83,232.78,90.5,0.06,63.36,0.35,0,35.9,49,998,5.14,36.07,49,998,4.3,34.44,57,998,6.11,32.03,68,998,5.45,29.84,79,1000,4.85,29.21,83,998,2.19,29.29,81,998,2.83,29.5,79,999,4.1,31.64,69,999,4.01,32.21,68,997,6.22,31,73,996,6.09,29.87,80,998,5.72,29.22,84,999,5.64,28.74,84,998,5.14,28.74,84,997,4.86,28.84,84,998,6.28,29.73,80,998,6.45,29.56,81,997,7.4,29.7,79,996,8.84,28.96,83,998,8.92,28.45,88,998,9.99,28.1,85,997,9.64,28.16,85,996,9.12,29.05,80,998,8.84,30.44,74,998,10.59
2025-06-26,09:28:27,9,3,0,5,50.83,232.78,90.5,0.06,63.36,0.35,0,35.9,49,998,5.14,34.44,57,998,6.11,32.03,68,998,5.45,29.84,79,1000,4.85,29.21,83,998,2.19,29.29,81,998,2.83,29.5,79,999,4.1,31.64,69,999,4.01,32.21,68,997,6.22,31,73,996,6.09,29.87,80,998,5.72,29.22,84,999,5.64,28.74,84,998,5.14,28.74,84,997,4.86,28.84,84,998,6.28,29.73,80,998,6.45,29.56,81,997,7.4,29.7,79,996,8.84,28.96,83,998,8.92,28.45,88,998,9.99,28.1,85,997,9.64,28.16,85,996,9.12,29.05,80,998,8.84,30.44,74,998,10.59,30.48,71,997,10.15
2025-06-26,10:28:17,10,3,0,5,50.25,227.32,89.6,0.06,61.84,0.36,0,35.9,46,997,4.63,34.44,55,998,6.11,32.03,67,998,5.45,29.84,79,1000,4.85,29.21,83,998,2.19,29.29,81,998,2.83,29.5,79,999,4.1,31.64,69,999,4.01,32.21,68,997,6.22,31,73,996,6.09,29.87,80,998,5.72,29.22,84,999,5.64,28.74,84,998,5.14,28.74,84,997,4.86,28.84,84,998,6.28,29.73,80,998,6.45,29.56,81,997,7.4,29.7,79,996,8.84,28.96,83,998,8.92,28.45,88,998,9.99,28.1,85,997,9.64,28.16,85,996,9.12,29.05,80,998,8.84,30.44,74,998,10.59,30.48,71,997,10.15
2025-06-26,11:22:03,11,3,0,5,49.3,220.3,88.73,0.06,60.95,0.37,0,34.9,49,997,6.17,35.07,49,997,6.11,33.38,59,997,5.45,31.58,69,999,4.85,29.21,83,998,2.19,29.29,81,998,2.83,29.5,79,999,4.1,31.64,69,999,4.01,32.21,68,997,6.22,31,73,996,6.09,29.87,80,998,5.72,29.22,84,999,5.64,28.74,84,998,5.14,28.74,84,997,4.86,28.84,84,998,6.28,29.73,80,998,6.45,29.56,81,997,7.4,29.7,79,996,8.84,28.96,83,998,8.92,28.45,88,998,9.99,28.1,85,997,9.64,28.16,85,996,9.12,29.05,80,998,8.84,30.44,74,998,10.59,30.48,71,997,10.15
